"ID"	"V"	"FRWAC_VFREQ"	"VTerminaison"	"CandidatN"	"NisPredicative"	"FRWAC_NFREQ"	"Source"	"CheckedBy"	"LastRevision"	"Validated"	"Commentaire"
9179	"lancer"	14392	"-er"	"lancement"	"TRUE"	3463	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
9181	"lancer"	14392	"-er"	"lancer"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:51:46"	"TRUE"	
9183	"lancer"	14392	"-er"	"lanceur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:51:54"	"TRUE"	
9939	"modifier"	14162	"-er"	"modificateur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:52:19"	"TRUE"	
3000034	"modifier"	14162	"-er"	"modification"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-24 16:31:27"	"TRUE"	
9938	"modifier"	14162	"-er"	"modifieur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:52:10"	"TRUE"	
10275	"noter"	14129	"-er"	"notage"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
10277	"noter"	14129	"-er"	"notateur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:53:20"	"TRUE"	
10273	"noter"	14129	"-er"	"notation"	"TRUE"	7760	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:52:39"	"TRUE"	
10274	"noter"	14129	"-er"	"note"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
2838	"cliquer"	14123	"-er"	"clic"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:53:55"	"TRUE"	
6384	"expliquer"	13998	"-er"	"explication"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:53:33"	"TRUE"	
184	"adapter"	13862	"-er"	"adaptateur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:54:08"	"TRUE"	
183	"adapter"	13862	"-er"	"adaptation"	"TRUE"	4202	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
12020	"rappeler"	13260	"-er"	"rappel"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:54:22"	"TRUE"	
3249	"contenir"	13027	"-er"	"contention"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
