"ID"	"V"	"FRWAC_VFREQ"	"VTerminaison"	"CandidatN"	"FRWAC_NFREQ"	"Source"	"CheckedBy"	"LastRevision"	"Validated"	"Commentaire"
"7449"	"fixer"	"13000"	"-er"	"fixation"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:55:13"	"TRUE"	
"7451"	"fixer"	"13000"	"-er"	"fixe"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:57:04"	"TRUE"	
"596"	"annoncer"	"12976"	"-er"	"annonceur"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:57:17"	"TRUE"	
"597"	"annoncer"	"12976"	"-er"	"annonce"	"7892"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
"3000005"	"annoncer"	"12976"	"-er"	"annonciation"	"7892"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-24 12:39:31"	"TRUE"	
"3237"	"consulter"	"12952"	"-er"	"consultation"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:57:33"	"TRUE"	
"1381"	"bénéficier"	"12948"	"-er"	"bénéfice"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:57:48"	"TRUE"	
"89"	"accompagner"	"12909"	"-er"	"accompagnateur"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:57:59"	"TRUE"	
"90"	"accompagner"	"12909"	"-er"	"accompagnement"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:58:12"	"TRUE"	
"838"	"associer"	"12699"	"-er"	"association"	"31981"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
"840"	"associer"	"12699"	"-er"	"associé"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:58:37"	"TRUE"	
"7024"	"établir"	"12640"	"-er"	"établissement"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:58:53"	"TRUE"	
"10445"	"oublier"	"12257"	"-er"	"oubli"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:59:09"	"TRUE"	
"15101"	"viser"	"12198"	"-er"	"viseur"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 19:59:28"	"TRUE"	
"15102"	"viser"	"12198"	"-er"	"visée"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
"15103"	"viser"	"12198"	"-er"	"visa"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 20:00:53"	"TRUE"	
"12486"	"rencontrer"	"12109"	"-er"	"rencontre"	"14216"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
"10685"	"partager"	"11814"	"-er"	"partage"	"2561"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
"558"	"analyser"	"11729"	"-er"	"analyse"	"12898"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
"559"	"analyser"	"11729"	"-er"	"analyseur"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 20:01:21"	"TRUE"	
"7665"	"fournir"	"11690"	"-ir"	"fournisseur"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 20:01:30"	"TRUE"	
"7666"	"fournir"	"11690"	"-er"	"fourniture"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 20:01:43"	"TRUE"	
"209"	"adresser"	"11521"	"-er"	"adressage"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
"210"	"adresser"	"11521"	"-er"	"adresse"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
"3202"	"conseiller"	"11380"	"-er"	"conseil"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 20:01:56"	"TRUE"	
"8882"	"installer"	"11349"	"-er"	"installation"	"12286"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
"11160"	"placer"	"11345"	"-er"	"place"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 20:02:15"	"TRUE"	
"11162"	"placer"	"11345"	"-er"	"placeur"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 20:02:53"	"TRUE"	
"11163"	"placer"	"11345"	"-er"	"placement"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
"7849"	"gagner"	"11320"	"-er"	"gagne"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
"3000027"	"gagner"	"11320"	"-er"	"gain"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-24 16:18:12"	"TRUE"	
"11566"	"préparer"	"11259"	"-er"	"préparage"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
"11567"	"préparer"	"11259"	"-er"	"préparation"	"8965"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
"12332"	"regarder"	"11205"	"-er"	"regard"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-24 11:36:12"	"TRUE"	
"8947"	"intégrer"	"11142"	"-er"	"intégration"	"6929"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
"8948"	"intégrer"	"11142"	"-er"	"intégrateur"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-24 11:37:30"	"TRUE"	
"3081"	"composer"	"10988"	"-er"	"composition"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-24 11:38:03"	"TRUE"	
"3082"	"composer"	"10988"	"-er"	"composeuse"	"0"	"VN_AUTO:2013-07-02"	"AB"	"2013-07-24 11:40:20"	"TRUE"	
